Name,UID,Code,Parent UID,Short name,Description,UUID,Opening date,Closed date,Comment,Feature type,Coordinates,URL,Contact person,Address,Email,Phone number
Khaung Laung Chaung,,,DwMYyRSVIrj,Khaung Laung Chaung,,,,,,,,,,,,
May Lun,,,DwMYyRSVIrj,May Lun,,,,,,,,,,,,
Min Ywar,,,DwMYyRSVIrj,Min Ywar,,,,,,,,,,,,
Pan Myaung,,,DwMYyRSVIrj,Pan Myaung,,,,,,,,,,,,
Pyar Chaung,,,DwMYyRSVIrj,Pyar Chaung,,,,,,,,,,,,
Thit Poke Taung,,,DwMYyRSVIrj,Thit Poke Taung,,,,,,,,,,,,
Ba Li Pyin,,,d3eX8NDxHwo,Ba Li Pyin,,,,,,,,,,,,
Bar Nyo,,,d3eX8NDxHwo,Bar Nyo,,,,,,,,,,,,
Kyi Yar Pyin,,,d3eX8NDxHwo,Kyi Yar Pyin,,,,,,,,,,,,
Kywe Te,,,d3eX8NDxHwo,Kywe Te,,,,,,,,,,,,
Myaung Bway,,,d3eX8NDxHwo,Myaung Bway,,,,,,,,,,,,
Pyar Te,,,d3eX8NDxHwo,Pyar Te,,,,,,,,,,,,
Sin Ke,,,d3eX8NDxHwo,Sin Ke,,,,,,,,,,,,
Sin Oe Chay,,,d3eX8NDxHwo,Sin Oe Chay,,,,,,,,,,,,
Tein Nyo,,,d3eX8NDxHwo,Tein Nyo,,,,,,,,,,,,
Kan Htaunt Gyi,,,g8yaXxvro1B,Kan Htaunt Gyi,,,,,,,,,,,,
Ko Yan Pyin,,,lhg2awrndiF,Ko Yan Pyin,,,,,,,,,,,,
Kyar Inn Taung,,,prtDbqe1dEA,Kyar Inn Taung,,,,,,,,,,,,
Kyun Thar Yar,,,AERO6AQemV2,Kyun Thar Yar,,,,,,,,,,,,
Lwan Lone Paik,,,eta0NjGqBnX,Lwan Lone Paik,,,,,,,,,,,,
Tha Yet Taung,,,I19ZYAKxiaN,Tha Yet Taung,,,,,,,,,,,,
Yet Chaung,,,fbUgLR1VvIG,Yet Chaung,,,,,,,,,,,,
Ah Lel Kyun,,,lhg2awrndiF,Ah Lel Kyun,,,,,,,,,,,,
Hpa Du,,,lhg2awrndiF,Hpa Du,,,,,,,,,,,,
Kyauk Taung,,,lhg2awrndiF,Kyauk Taung,,,,,,,,,,,,
Myint Gar,,,lhg2awrndiF,Myint Gar,,,,,,,,,,,,
Sin Tet Maw,,,lhg2awrndiF,Sin Tet Maw,,,,,,,,,,,,
Tha Pyay Kan,,,lhg2awrndiF,Tha Pyay Kan,,,,,,,,,,,,
Tha Win Chaung,,,lhg2awrndiF,Tha Win Chaung,,,,,,,,,,,,
Yar Taik,,,lhg2awrndiF,Yar Taik,,,,,,,,,,,,
Ah Lel Chaung,,,LciTqvEfdMj,Ah Lel Chaung,,,,,,,,,,,,
Kun Taung,,,LciTqvEfdMj,Kun Taung,,,,,,,,,,,,
Poe Shi Pyin,,,LciTqvEfdMj,Poe Shi Pyin,,,,,,,,,,,,
Sin Thay,,,LciTqvEfdMj,Sin Thay,,,,,,,,,,,,
Thea Tet,,,LciTqvEfdMj,Thea Tet,,,,,,,,,,,,
Yoe Ta Yoke,,,LciTqvEfdMj,Yoe Ta Yoke,,,,,,,,,,,,
Ah Ngu Maw,,,prtDbqe1dEA,Ah Ngu Maw,,,,,,,,,,,,
Bar Ta Lay,,,prtDbqe1dEA,Bar Ta Lay,,,,,,,,,,,,
Kone Tan,,,prtDbqe1dEA,Kone Tan,,,,,,,,,,,,
Ku Taung,,,prtDbqe1dEA,Ku Taung,,,,,,,,,,,,
Kyauk Tan,,,prtDbqe1dEA,Kyauk Tan,,,,,,,,,,,,
Laung Chaung,,,prtDbqe1dEA,Laung Chaung,,,,,,,,,,,,
Zay Di Pyin,,,prtDbqe1dEA,Zay Di Pyin,,,,,,,,,,,,
Dar Paing Ywar Thit,,,CaIJ8KVji7E,Dar Paing Ywar Thit,,,,,,,,,,,,
Par Da Leik,,,CaIJ8KVji7E,Par Da Leik,,,,,,,,,,,,
War Bo,,,CaIJ8KVji7E,War Bo,,,,,,,,,,,,
Yae Chan Pyin,,,CaIJ8KVji7E,Yae Chan Pyin,,,,,,,,,,,,
Zaw Pu Gyar,,,CaIJ8KVji7E,Zaw Pu Gyar,,,,,,,,,,,,
