dataelement,period,orgunit,catoptcombo,attroptcombo,value,storedby,lastupd,comment
qOYSeBL4AXZ,20210731,U2e0Em0PoHU,iESY4hP4ZJe,H4eiCaIeZQR,,,,
qOYSeBL4AXZ,20210731,Ml4vtfj16Zw,iESY4hP4ZJe,H4eiCaIeZQR,5,,,
qOYSeBL4AXZ,20210731,sR2V8vkNOPe,iESY4hP4ZJe,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,WKBa4jufxAL,yhrViCrtCCb,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,fIkkmz67QmR,yhrViCrtCCb,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,ewUgN5vdakS,yhrViCrtCCb,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,WYjrgg8pNJG,yhrViCrtCCb,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,oKRDJgPYyGs,yhrViCrtCCb,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,rb1hxc5BXUq,yhrViCrtCCb,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,U2e0Em0PoHU,yhrViCrtCCb,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,Ml4vtfj16Zw,yhrViCrtCCb,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,sR2V8vkNOPe,yhrViCrtCCb,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,WKBa4jufxAL,V3UgoqNmJ5R,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,fIkkmz67QmR,V3UgoqNmJ5R,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,ewUgN5vdakS,V3UgoqNmJ5R,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,WYjrgg8pNJG,V3UgoqNmJ5R,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,oKRDJgPYyGs,V3UgoqNmJ5R,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,rb1hxc5BXUq,V3UgoqNmJ5R,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,U2e0Em0PoHU,V3UgoqNmJ5R,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,Ml4vtfj16Zw,V3UgoqNmJ5R,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,sR2V8vkNOPe,V3UgoqNmJ5R,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,WKBa4jufxAL,n8c88vrgG5o,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,fIkkmz67QmR,n8c88vrgG5o,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,ewUgN5vdakS,n8c88vrgG5o,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,WYjrgg8pNJG,n8c88vrgG5o,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,oKRDJgPYyGs,n8c88vrgG5o,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,rb1hxc5BXUq,n8c88vrgG5o,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,U2e0Em0PoHU,n8c88vrgG5o,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,Ml4vtfj16Zw,n8c88vrgG5o,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,sR2V8vkNOPe,n8c88vrgG5o,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,WKBa4jufxAL,oIlghOILLUN,H4eiCaIeZQR,26,,,
Gpnjeds5dkE,20210731,fIkkmz67QmR,oIlghOILLUN,H4eiCaIeZQR,85,,,
Gpnjeds5dkE,20210731,ewUgN5vdakS,oIlghOILLUN,H4eiCaIeZQR,12,,,
Gpnjeds5dkE,20210731,WYjrgg8pNJG,oIlghOILLUN,H4eiCaIeZQR,3,,,
Gpnjeds5dkE,20210731,oKRDJgPYyGs,oIlghOILLUN,H4eiCaIeZQR,3,,,
Gpnjeds5dkE,20210731,rb1hxc5BXUq,oIlghOILLUN,H4eiCaIeZQR,9,,,
Gpnjeds5dkE,20210731,U2e0Em0PoHU,oIlghOILLUN,H4eiCaIeZQR,19,,,
Gpnjeds5dkE,20210731,Ml4vtfj16Zw,oIlghOILLUN,H4eiCaIeZQR,5,,,
Gpnjeds5dkE,20210731,sR2V8vkNOPe,oIlghOILLUN,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,WKBa4jufxAL,FpeQVo19ojW,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,fIkkmz67QmR,FpeQVo19ojW,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,ewUgN5vdakS,FpeQVo19ojW,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,WYjrgg8pNJG,FpeQVo19ojW,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,oKRDJgPYyGs,FpeQVo19ojW,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,rb1hxc5BXUq,FpeQVo19ojW,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,U2e0Em0PoHU,FpeQVo19ojW,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,Ml4vtfj16Zw,FpeQVo19ojW,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,sR2V8vkNOPe,FpeQVo19ojW,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,WKBa4jufxAL,Z5YFZe4fuMW,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,fIkkmz67QmR,Z5YFZe4fuMW,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,ewUgN5vdakS,Z5YFZe4fuMW,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,WYjrgg8pNJG,Z5YFZe4fuMW,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,oKRDJgPYyGs,Z5YFZe4fuMW,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,rb1hxc5BXUq,Z5YFZe4fuMW,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,U2e0Em0PoHU,Z5YFZe4fuMW,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,Ml4vtfj16Zw,Z5YFZe4fuMW,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,sR2V8vkNOPe,Z5YFZe4fuMW,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,WKBa4jufxAL,TiLcQHH8dYc,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,fIkkmz67QmR,TiLcQHH8dYc,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,ewUgN5vdakS,TiLcQHH8dYc,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,WYjrgg8pNJG,TiLcQHH8dYc,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,oKRDJgPYyGs,TiLcQHH8dYc,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,rb1hxc5BXUq,TiLcQHH8dYc,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,U2e0Em0PoHU,TiLcQHH8dYc,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,Ml4vtfj16Zw,TiLcQHH8dYc,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,sR2V8vkNOPe,TiLcQHH8dYc,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,WKBa4jufxAL,TVHtGsKVEo9,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,fIkkmz67QmR,TVHtGsKVEo9,H4eiCaIeZQR,2,,,
Gpnjeds5dkE,20210731,ewUgN5vdakS,TVHtGsKVEo9,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,WYjrgg8pNJG,TVHtGsKVEo9,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,oKRDJgPYyGs,TVHtGsKVEo9,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,rb1hxc5BXUq,TVHtGsKVEo9,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,U2e0Em0PoHU,TVHtGsKVEo9,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,Ml4vtfj16Zw,TVHtGsKVEo9,H4eiCaIeZQR,,,,
Gpnjeds5dkE,20210731,sR2V8vkNOPe,TVHtGsKVEo9,H4eiCaIeZQR,,,,
